field_1,field_2,field_3,gx,gy,gz
32323411.000000000000000,5723373.000000000000000,44.350000000000001,"32323411","5723373",91.000000000000000
32323411.000000000000000,5723373.000000000000000,44.350000000000001,"32323411","5723373",91.000000000000000
32323412.000000000000000,5723374.000000000000000,44.310000000000002,"32323412","5723374",93.000000000000000
32323413.000000000000000,5723158.000000000000000,36.049999999999997,"32323413","5723158",61.000000000000000
32323413.000000000000000,5723209.000000000000000,32.000000000000000,"32323413","5723209",92.000000000000000
32323414.000000000000000,5723152.000000000000000,36.130000000000003,"32323414","5723152",63.000000000000000
32323414.000000000000000,5723156.000000000000000,36.200000000000003,"32323414","5723156",60.000000000000000
32323414.000000000000000,5723360.000000000000000,43.170000000000002,"32323414","5723360",93.000000000000000
32323415.000000000000000,5723146.000000000000000,35.960000000000001,"32323415","5723146",66.000000000000000
32323415.000000000000000,5723374.000000000000000,44.310000000000002,"32323415","5723374",94.000000000000000
32323416.000000000000000,5723213.000000000000000,32.240000000000002,"32323416","5723213",90.000000000000000
32323416.000000000000000,5723370.000000000000000,44.049999999999997,"32323416","5723370",88.000000000000000
32323416.000000000000000,5723374.000000000000000,44.320000000000000,"32323416","5723374",93.000000000000000
32323417.000000000000000,5723141.000000000000000,35.840000000000003,"32323417","5723141",67.000000000000000
32323417.000000000000000,5723366.000000000000000,43.890000000000001,"32323417","5723366",95.000000000000000
32323417.000000000000000,5723372.000000000000000,44.170000000000002,"32323417","5723372",87.000000000000000
32323418.000000000000000,5723218.000000000000000,32.189999999999998,"32323418","5723218",91.000000000000000
32323418.000000000000000,5723362.000000000000000,43.189999999999998,"32323418","5723362",93.000000000000000
32323418.000000000000000,5723368.000000000000000,44.109999999999999,"32323418","5723368",83.000000000000000
32323418.000000000000000,5723368.000000000000000,44.109999999999999,"32323418","5723368",95.000000000000000
32323419.000000000000000,5723136.000000000000000,35.570000000000000,"32323419","5723136",71.000000000000000
32323419.000000000000000,5723222.000000000000000,32.320000000000000,"32323419","5723222",91.000000000000000
32323420.000000000000000,5723132.000000000000000,35.049999999999997,"32323420","5723132",72.000000000000000
32323420.000000000000000,5723368.000000000000000,43.750000000000000,"32323420","5723368",95.000000000000000
32323421.000000000000000,5723365.000000000000000,43.509999999999998,"32323421","5723365",81.000000000000000
32323421.000000000000000,5723367.000000000000000,43.659999999999997,"32323421","5723367",98.000000000000000
32323421.000000000000000,5723375.000000000000000,44.560000000000002,"32323421","5723375",93.000000000000000
32323421.000000000000000,5723376.000000000000000,44.560000000000002,"32323421","5723376",94.000000000000000
32323422.000000000000000,5723129.000000000000000,34.680000000000000,"32323422","5723129",74.000000000000000
32323422.000000000000000,5723226.000000000000000,32.579999999999998,"32323422","5723226",90.000000000000000
32323422.000000000000000,5723372.000000000000000,44.140000000000001,"32323422","5723372",96.000000000000000
32323423.000000000000000,5723126.000000000000000,34.270000000000003,"32323423","5723126",75.000000000000000
32323423.000000000000000,5723363.000000000000000,43.259999999999998,"32323423","5723363",78.000000000000000
32323423.000000000000000,5723368.000000000000000,43.590000000000003,"32323423","5723368",99.000000000000000
