,gx,gy,gz
479,32322872,5723982,108.0
480,32322877,5723983,106.0
481,32322880,5723981,104.0
482,32322885,5723980,103.0
483,32322890,5723979,99.0
484,32322897,5723979,97.0
485,32322904,5723981,96.0
486,32322913,5723981,97.0
487,32322923,5723979,100.0
488,32322931,5723982,101.0
489,32322939,5723984,101.0
490,32322946,5723987,104.0
491,32322953,5723990,107.0
492,32322957,5723993,103.0
493,32322961,5723995,103.0
494,32322967,5723998,103.0
495,32322970,5723997,104.0
496,32322970,5723991,105.0
497,32322971,5723988,106.0
498,32322969,5723985,100.0
499,32322966,5723980,101.0
500,32322966,5723978,101.0
501,32322966,5723974,100.0
502,32322961,5723970,101.0
503,32322956,5723964,101.0
504,32322952,5723958,100.0
505,32322946,5723949,103.0
506,32322943,5723946,103.0
507,32322942,5723941,100.0
508,32322941,5723938,102.0
509,32322939,5723932,98.0
510,32322935,5723924,99.0
511,32322933,5723918,99.0
512,32322932,5723908,97.0
513,32322932,5723900,96.0
514,32322932,5723894,92.0
515,32322930,5723891,91.0
516,32322925,5723886,91.0
517,32322921,5723881,91.0
518,32322919,5723874,90.0
519,32322919,5723870,89.0
520,32322919,5723865,90.0
521,32322919,5723860,91.0
522,32322919,5723851,91.0
523,32322919,5723847,90.0
524,32322920,5723843,91.0
525,32322922,5723837,89.0
526,32322922,5723830,87.0
527,32322921,5723820,86.0
528,32322921,5723812,86.0
529,32322922,5723801,87.0
530,32322921,5723797,83.0
531,32322920,5723793,84.0
532,32322922,5723786,84.0
533,32322927,5723777,84.0
534,32322932,5723766,87.0
535,32322935,5723757,89.0
536,32322937,5723750,89.0
537,32322940,5723744,90.0
538,32322945,5723735,90.0
539,32322949,5723728,91.0
540,32322952,5723724,92.0
541,32322952,5723719,93.0
542,32322955,5723714,92.0
543,32322959,5723711,96.0
544,32322960,5723710,97.0
545,32322961,5723707,98.0
546,32322963,5723705,100.0
547,32322965,5723700,99.0
548,32322970,5723694,102.0
549,32322975,5723688,101.0
550,32322978,5723685,101.0
551,32322984,5723681,101.0
552,32322991,5723676,100.0
553,32322995,5723672,99.0
554,32323001,5723668,99.0
555,32323004,5723662,100.0
556,32323007,5723656,101.0
557,32323010,5723650,101.0
558,32323012,5723643,98.0
559,32323013,5723639,98.0
560,32323018,5723631,99.0
561,32323021,5723622,102.0
562,32323024,5723614,103.0
563,32323027,5723607,104.0
564,32323028,5723603,104.0
565,32323029,5723599,106.0
566,32323027,5723596,105.0
567,32323024,5723590,99.0
568,32323022,5723583,99.0
569,32323020,5723575,99.0
570,32323019,5723564,98.0
571,32323018,5723555,99.0
572,32323016,5723549,98.0
573,32323017,5723540,97.0
574,32323018,5723535,98.0
575,32323020,5723529,100.0
576,32323025,5723521,100.0
577,32323030,5723515,100.0
578,32323036,5723511,101.0
579,32323044,5723507,102.0
580,32323051,5723505,101.0
581,32323058,5723507,101.0
